['2', ' 1049', ' 1', ' 9', ' 48', ' 110']
['2', ' 1078', ' 0', ' 9', ' 47', ' 0']
['2', ' 1078', ' 0', ' 9', ' 48', ' 0']
['2', ' 1079', ' 1', ' 9', ' 36', ' 110']
['2', ' 1079', ' 1', ' 9', ' 48', ' 110']
['2', ' 1108', ' 0', ' 9', ' 36', ' 0']
['2', ' 1108', ' 0', ' 9', ' 48', ' 0']
['2', ' 1109', ' 1', ' 9', ' 48', ' 110']
['2', ' 1138', ' 0', ' 9', ' 48', ' 0']
['2', ' 1139', ' 1', ' 9', ' 48', ' 110']
['2', ' 1168', ' 0', ' 9', ' 48', ' 0']
['2', ' 1169', ' 1', ' 9', ' 48', ' 110']
['2', ' 1198', ' 0', ' 9', ' 48', ' 0']
['2', ' 1199', ' 1', ' 9', ' 36', ' 110']
['2', ' 1199', ' 1', ' 9', ' 47', ' 110']
['2', ' 1199', ' 1', ' 9', ' 48', ' 110']
['2', ' 1228', ' 0', ' 9', ' 36', ' 0']
['2', ' 1228', ' 0', ' 9', ' 47', ' 0']
['2', ' 1228', ' 0', ' 9', ' 48', ' 0']
['2', ' 1229', ' 1', ' 9', ' 48', ' 110']
['2', ' 1258', ' 0', ' 9', ' 48', ' 0']
['2', ' 1259', ' 1', ' 9', ' 48', ' 110']
['2', ' 1288', ' 0', ' 9', ' 48', ' 0']
['2', ' 1289', ' 1', ' 9', ' 48', ' 110']
['2', ' 1318', ' 0', ' 9', ' 48', ' 0']
['2', ' 1319', ' 1', ' 9', ' 36', ' 110']
['2', ' 1319', ' 1', ' 9', ' 47', ' 110']
['2', ' 1319', ' 1', ' 9', ' 48', ' 110']
['2', ' 1348', ' 0', ' 9', ' 36', ' 0']
['2', ' 1348', ' 0', ' 9', ' 47', ' 0']
['2', ' 1348', ' 0', ' 9', ' 48', ' 0']
['2', ' 1349', ' 1', ' 9', ' 48', ' 110']
['2', ' 1378', ' 0', ' 9', ' 48', ' 0']
['2', ' 1379', ' 1', ' 9', ' 48', ' 110']
['2', ' 1408', ' 0', ' 9', ' 48', ' 0']
['2', ' 1409', ' 1', ' 9', ' 48', ' 110']
['2', ' 1438', ' 0', ' 9', ' 48', ' 0']
['2', ' 1439', ' 1', ' 9', ' 36', ' 110']
['2', ' 1439', ' 1', ' 9', ' 47', ' 110']
['2', ' 1439', ' 1', ' 9', ' 48', ' 110']
['2', ' 1468', ' 0', ' 9', ' 36', ' 0']
['2', ' 1468', ' 0', ' 9', ' 47', ' 0']
['2', ' 1468', ' 0', ' 9', ' 48', ' 0']
['2', ' 1469', ' 1', ' 9', ' 48', ' 110']
['2', ' 1498', ' 0', ' 9', ' 48', ' 0']
['2', ' 1499', ' 1', ' 9', ' 48', ' 110']
['2', ' 1528', ' 0', ' 9', ' 48', ' 0']
['2', ' 1529', ' 1', ' 9', ' 47', ' 110']
['2', ' 1529', ' 1', ' 9', ' 48', ' 110']
['2', ' 1558', ' 0', ' 9', ' 47', ' 0']
['2', ' 1558', ' 0', ' 9', ' 48', ' 0']
['2', ' 1559', ' 1', ' 9', ' 36', ' 110']
['2', ' 1559', ' 1', ' 9', ' 48', ' 110']
['2', ' 1588', ' 0', ' 9', ' 36', ' 0']
['2', ' 1588', ' 0', ' 9', ' 48', ' 0']
['2', ' 1589', ' 1', ' 9', ' 48', ' 110']
['2', ' 1618', ' 0', ' 9', ' 48', ' 0']
['2', ' 1619', ' 1', ' 9', ' 48', ' 110']
['2', ' 1648', ' 0', ' 9', ' 48', ' 0']
['2', ' 1649', ' 1', ' 9', ' 48', ' 110']
['2', ' 1678', ' 0', ' 9', ' 48', ' 0']
['2', ' 1679', ' 1', ' 9', ' 36', ' 110']
['2', ' 1679', ' 1', ' 9', ' 47', ' 110']
['2', ' 1679', ' 1', ' 9', ' 48', ' 110']
['2', ' 1708', ' 0', ' 9', ' 36', ' 0']
['2', ' 1708', ' 0', ' 9', ' 47', ' 0']
['2', ' 1708', ' 0', ' 9', ' 48', ' 0']
