['2', ' 13933', ' 1', ' 1', ' 38', ' 103']
['2', ' 14033', ' 0', ' 1', ' 38', ' 64']
['2', ' 14137', ' 1', ' 1', ' 33', ' 73']
['2', ' 14223', ' 0', ' 1', ' 33', ' 64']
['2', ' 14298', ' 1', ' 1', ' 40', ' 113']
['2', ' 14390', ' 0', ' 1', ' 40', ' 64']
['2', ' 14525', ' 1', ' 1', ' 35', ' 84']
['2', ' 14616', ' 0', ' 1', ' 35', ' 64']
['2', ' 14737', ' 1', ' 1', ' 35', ' 82']
['2', ' 14830', ' 0', ' 1', ' 35', ' 64']
['2', ' 14856', ' 1', ' 1', ' 38', ' 103']
['2', ' 14969', ' 0', ' 1', ' 38', ' 64']
['2', ' 15093', ' 1', ' 1', ' 33', ' 78']
['2', ' 15196', ' 0', ' 1', ' 33', ' 64']
['2', ' 15344', ' 1', ' 1', ' 40', ' 97']
['2', ' 15450', ' 0', ' 1', ' 40', ' 64']
['2', ' 15572', ' 1', ' 1', ' 35', ' 82']
['2', ' 15691', ' 0', ' 1', ' 35', ' 64']
['2', ' 15828', ' 1', ' 1', ' 38', ' 100']
['2', ' 15923', ' 0', ' 1', ' 38', ' 64']
['2', ' 16040', ' 1', ' 1', ' 33', ' 74']
['2', ' 16124', ' 0', ' 1', ' 33', ' 64']
['2', ' 16216', ' 1', ' 1', ' 40', ' 106']
['2', ' 16318', ' 0', ' 1', ' 40', ' 64']
['2', ' 16453', ' 1', ' 1', ' 35', ' 87']
['2', ' 16543', ' 0', ' 1', ' 35', ' 64']
['2', ' 16665', ' 1', ' 1', ' 35', ' 78']
['2', ' 16751', ' 0', ' 1', ' 35', ' 64']
['2', ' 16791', ' 1', ' 1', ' 38', ' 97']
['2', ' 16890', ' 0', ' 1', ' 38', ' 64']
['2', ' 17022', ' 1', ' 1', ' 33', ' 85']
['2', ' 17117', ' 0', ' 1', ' 33', ' 64']
['2', ' 17279', ' 1', ' 1', ' 40', ' 110']
['2', ' 17367', ' 0', ' 1', ' 40', ' 64']
['2', ' 17519', ' 1', ' 1', ' 35', ' 80']
['2', ' 17619', ' 0', ' 1', ' 35', ' 64']
['2', ' 17767', ' 1', ' 1', ' 38', ' 92']
['2', ' 17859', ' 0', ' 1', ' 38', ' 64']
['2', ' 17981', ' 1', ' 1', ' 33', ' 73']
['2', ' 18067', ' 0', ' 1', ' 33', ' 64']
['2', ' 18155', ' 1', ' 1', ' 40', ' 106']
['2', ' 18235', ' 0', ' 1', ' 40', ' 64']
['2', ' 18369', ' 1', ' 1', ' 35', ' 80']
['2', ' 18453', ' 0', ' 1', ' 35', ' 64']
['2', ' 18583', ' 1', ' 1', ' 35', ' 72']
['2', ' 18674', ' 0', ' 1', ' 35', ' 64']
['2', ' 18714', ' 1', ' 1', ' 38', ' 85']
['2', ' 18809', ' 0', ' 1', ' 38', ' 64']
['2', ' 18950', ' 1', ' 1', ' 33', ' 94']
['2', ' 19045', ' 0', ' 1', ' 33', ' 64']
['2', ' 19213', ' 1', ' 1', ' 40', ' 100']
['2', ' 19277', ' 0', ' 1', ' 40', ' 64']
['2', ' 19447', ' 1', ' 1', ' 35', ' 82']
['2', ' 19537', ' 0', ' 1', ' 35', ' 64']
['2', ' 19694', ' 1', ' 1', ' 38', ' 90']
['2', ' 19765', ' 0', ' 1', ' 38', ' 64']
['2', ' 19899', ' 1', ' 1', ' 33', ' 70']
['2', ' 19979', ' 0', ' 1', ' 33', ' 64']
['2', ' 20083', ' 1', ' 1', ' 40', ' 94']
['2', ' 20158', ' 0', ' 1', ' 40', ' 64']
['2', ' 20295', ' 1', ' 1', ' 35', ' 78']
['2', ' 20376', ' 0', ' 1', ' 35', ' 64']
['2', ' 20518', ' 1', ' 1', ' 35', ' 70']
['2', ' 20597', ' 0', ' 1', ' 35', ' 64']
['2', ' 20648', ' 1', ' 1', ' 38', ' 92']
['2', ' 20727', ' 0', ' 1', ' 38', ' 64']
['2', ' 20873', ' 1', ' 1', ' 33', ' 80']
['2', ' 20957', ' 0', ' 1', ' 33', ' 64']
['2', ' 21096', ' 1', ' 1', ' 40', ' 97']
['2', ' 21120', ' 0', ' 1', ' 40', ' 64']
['2', ' 21133', ' 1', ' 1', ' 40', ' 100']
['2', ' 21197', ' 0', ' 1', ' 40', ' 64']
['2', ' 21367', ' 1', ' 1', ' 35', ' 82']
['2', ' 21457', ' 0', ' 1', ' 35', ' 64']
['2', ' 21614', ' 1', ' 1', ' 38', ' 90']
['2', ' 21685', ' 0', ' 1', ' 38', ' 64']
['2', ' 21819', ' 1', ' 1', ' 33', ' 70']
['2', ' 21899', ' 0', ' 1', ' 33', ' 64']
['2', ' 22003', ' 1', ' 1', ' 40', ' 94']
['2', ' 22078', ' 0', ' 1', ' 40', ' 64']
['2', ' 22215', ' 1', ' 1', ' 35', ' 78']
['2', ' 22296', ' 0', ' 1', ' 35', ' 64']
['2', ' 22438', ' 1', ' 1', ' 35', ' 70']
['2', ' 22517', ' 0', ' 1', ' 35', ' 64']
['2', ' 22568', ' 1', ' 1', ' 38', ' 92']
['2', ' 22647', ' 0', ' 1', ' 38', ' 64']
['2', ' 22793', ' 1', ' 1', ' 33', ' 80']
['2', ' 22877', ' 0', ' 1', ' 33', ' 64']
['2', ' 23016', ' 1', ' 1', ' 40', ' 97']
['2', ' 23040', ' 0', ' 1', ' 40', ' 64']
['2', ' 23040', ' 1', ' 1', ' 40', ' 103']
['2', ' 23145', ' 0', ' 1', ' 40', ' 64']
