4, 5920, Note_off_c, 0, 77, 80
4, 5920, Note_on_c, 0, 77, 47
4, 6000, Note_off_c, 0, 77, 80
4, 6000, Note_on_c, 0, 77, 47
4, 6080, Note_off_c, 0, 77, 80
4, 6080, Note_on_c, 0, 77, 47
4, 6160, Note_off_c, 0, 77, 80
4, 6160, Note_on_c, 0, 77, 47
4, 6240, Note_off_c, 0, 77, 80
4, 6240, Note_on_c, 0, 77, 95
4, 6240, Note_on_c, 0, 77, 63
4, 6300, Note_off_c, 0, 77, 80
4, 6320, Note_off_c, 0, 77, 80
4, 6320, Note_on_c, 0, 77, 63
4, 6400, Note_on_c, 0, 76, 47
4, 6410, Note_off_c, 0, 77, 80
4, 6480, Note_off_c, 0, 76, 80
4, 6480, Note_on_c, 0, 77, 63
4, 6560, Note_off_c, 0, 77, 80
4, 6560, Note_on_c, 0, 77, 63
4, 6640, Note_off_c, 0, 77, 80
4, 6640, Note_on_c, 0, 77, 63
4, 6720, Note_off_c, 0, 77, 80
4, 6720, Note_on_c, 0, 76, 127
4, 6840, Note_off_c, 0, 76, 80
4, 6960, Note_on_c, 0, 77, 127
4, 6960, Note_on_c, 0, 74, 111
4, 7080, Note_off_c, 0, 77, 80
4, 7080, Note_off_c, 0, 74, 80
4, 7680, Note_on_c, 0, 77, 95
4, 8160, Note_off_c, 0, 77, 80
4, 8160, Note_on_c, 0, 76, 95
4, 8400, Note_off_c, 0, 76, 80
4, 8400, Note_on_c, 0, 74, 95
4, 8880, Note_off_c, 0, 74, 80
4, 8880, Note_on_c, 0, 74, 95
4, 9120, Note_off_c, 0, 74, 80
4, 9120, Note_on_c, 0, 76, 95
4, 9360, Note_off_c, 0, 76, 80
4, 9360, Note_on_c, 0, 74, 95
4, 9600, Note_off_c, 0, 74, 80
4, 9600, Program_c, 0, 30
4, 9600, Program_c, 1, 30
4, 9840, Note_on_c, 0, 60, 95
4, 9840, Note_on_c, 0, 57, 95
4, 10080, Note_off_c, 0, 60, 80
4, 10080, Note_off_c, 0, 57, 80
4, 10080, Note_on_c, 0, 60, 95
4, 10080, Note_on_c, 0, 57, 95
4, 10560, Note_off_c, 0, 60, 80
4, 10560, Note_off_c, 0, 57, 80
4, 10560, Note_on_c, 0, 60, 95
4, 10560, Note_on_c, 0, 57, 95
4, 10800, Note_off_c, 0, 60, 80
4, 10800, Note_off_c, 0, 57, 80
4, 10800, Note_on_c, 0, 60, 95
4, 10800, Note_on_c, 0, 57, 95
4, 11040, Note_off_c, 0, 60, 80
4, 11040, Note_off_c, 0, 57, 80
4, 11040, Note_on_c, 0, 62, 95
4, 11040, Note_on_c, 0, 59, 95
4, 11280, Note_off_c, 0, 62, 80
4, 11280, Note_off_c, 0, 59, 80
4, 11280, Note_on_c, 1, 58, 79
4, 11280, Pitch_bend_c, 1, 8192
4, 11312, Pitch_bend_c, 1, 8320
4, 11344, Pitch_bend_c, 1, 8448
4, 11392, Pitch_bend_c, 1, 8576
4, 11424, Pitch_bend_c, 1, 8704
4, 11472, Pitch_bend_c, 1, 8832
4, 11700, Note_off_c, 1, 58, 80
4, 11700, Pitch_bend_c, 1, 8192
4, 11760, Note_on_c, 0, 57, 95
4, 12000, Note_off_c, 0, 57, 80
4, 12000, Note_on_c, 0, 57, 79
4, 12720, Note_off_c, 0, 57, 80
4, 12720, Note_on_c, 0, 52, 95
4, 12960, Note_off_c, 0, 52, 80
4, 12960, Note_on_c, 0, 55, 95
4, 13200, Note_off_c, 0, 55, 80
4, 13200, Note_on_c, 0, 52, 95
4, 13440, Note_off_c, 0, 52, 80
4, 13440, Note_on_c, 0, 57, 111
4, 14880, Note_off_c, 0, 57, 80
4, 15120, Note_on_c, 0, 59, 47
4, 17280, Note_off_c, 0, 59, 80
4, 17520, Note_on_c, 0, 60, 95
4, 17520, Note_on_c, 0, 57, 95
4, 17760, Note_off_c, 0, 60, 80
4, 17760, Note_off_c, 0, 57, 80
4, 17760, Note_on_c, 0, 60, 95
4, 17760, Note_on_c, 0, 57, 95
4, 18240, Note_off_c, 0, 60, 80
4, 18240, Note_off_c, 0, 57, 80
4, 18240, Note_on_c, 0, 60, 95
4, 18240, Note_on_c, 0, 57, 95
4, 18480, Note_off_c, 0, 60, 80
4, 18480, Note_off_c, 0, 57, 80
4, 18480, Note_on_c, 0, 60, 95
4, 18480, Note_on_c, 0, 57, 95
4, 18720, Note_off_c, 0, 60, 80
4, 18720, Note_off_c, 0, 57, 80
4, 18720, Note_on_c, 0, 62, 95
4, 18720, Note_on_c, 0, 59, 95
4, 18960, Note_off_c, 0, 62, 80
4, 18960, Note_off_c, 0, 59, 80
4, 18990, Note_on_c, 1, 58, 95
4, 18990, Pitch_bend_c, 1, 8192
4, 19022, Pitch_bend_c, 1, 8320
4, 19054, Pitch_bend_c, 1, 8448
4, 19086, Pitch_bend_c, 1, 8576
4, 19118, Pitch_bend_c, 1, 8704
4, 19166, Pitch_bend_c, 1, 8832
4, 19380, Note_off_c, 1, 58, 80
4, 19380, Pitch_bend_c, 1, 8192
4, 19440, Note_on_c, 0, 57, 95
4, 19680, Note_off_c, 0, 57, 80
4, 19680, Note_on_c, 0, 57, 79
4, 20400, Note_off_c, 0, 57, 80
4, 20400, Note_on_c, 0, 52, 95
4, 20640, Note_off_c, 0, 52, 80
4, 20640, Note_on_c, 0, 55, 95
4, 20880, Note_off_c, 0, 55, 80
4, 20880, Note_on_c, 0, 52, 95
4, 21120, Note_off_c, 0, 52, 80
4, 21120, Note_on_c, 0, 57, 111
4, 22560, Note_off_c, 0, 57, 80
4, 22800, Note_on_c, 0, 59, 47
4, 24960, Note_off_c, 0, 59, 80
4, 25200, Note_on_c, 0, 60, 95
4, 25200, Note_on_c, 0, 57, 95
4, 25440, Note_off_c, 0, 60, 80
4, 25440, Note_off_c, 0, 57, 80
4, 25440, Note_on_c, 0, 60, 95
4, 25440, Note_on_c, 0, 57, 95
4, 25920, Note_off_c, 0, 60, 80
4, 25920, Note_off_c, 0, 57, 80
4, 25920, Note_on_c, 0, 60, 95
4, 25920, Note_on_c, 0, 57, 95
4, 26160, Note_off_c, 0, 60, 80
4, 26160, Note_off_c, 0, 57, 80
4, 26160, Note_on_c, 0, 60, 95
4, 26160, Note_on_c, 0, 57, 95
4, 26400, Note_off_c, 0, 60, 80
4, 26400, Note_off_c, 0, 57, 80
4, 26400, Note_on_c, 0, 62, 95
4, 26400, Note_on_c, 0, 59, 95
4, 26640, Note_off_c, 0, 62, 80
4, 26640, Note_off_c, 0, 59, 80
4, 26670, Note_on_c, 1, 58, 95
4, 26670, Pitch_bend_c, 1, 8192
4, 26702, Pitch_bend_c, 1, 8320
4, 26734, Pitch_bend_c, 1, 8448
4, 26766, Pitch_bend_c, 1, 8576
4, 26798, Pitch_bend_c, 1, 8704
4, 26846, Pitch_bend_c, 1, 8832
4, 27060, Note_off_c, 1, 58, 80
4, 27060, Pitch_bend_c, 1, 8192
4, 27120, Note_on_c, 0, 57, 95
4, 27360, Note_off_c, 0, 57, 80
4, 27360, Note_on_c, 0, 57, 79
4, 28080, Note_off_c, 0, 57, 80
4, 28080, Note_on_c, 0, 52, 95
4, 28320, Note_off_c, 0, 52, 80
4, 28320, Note_on_c, 0, 55, 95
4, 28560, Note_off_c, 0, 55, 80
4, 28560, Note_on_c, 0, 52, 95
4, 28800, Note_off_c, 0, 52, 80
4, 28800, Note_on_c, 0, 57, 111
4, 30240, Note_off_c, 0, 57, 80
4, 30480, Note_on_c, 0, 59, 47
4, 32640, Note_off_c, 0, 59, 80
4, 32880, Note_on_c, 0, 60, 95
4, 32880, Note_on_c, 0, 57, 95
4, 33120, Note_off_c, 0, 60, 80
4, 33120, Note_off_c, 0, 57, 80
4, 33120, Note_on_c, 0, 60, 95
4, 33120, Note_on_c, 0, 57, 95
4, 33600, Note_off_c, 0, 60, 80
4, 33600, Note_off_c, 0, 57, 80
4, 33600, Note_on_c, 0, 60, 95
4, 33600, Note_on_c, 0, 57, 95
4, 33840, Note_off_c, 0, 60, 80
4, 33840, Note_off_c, 0, 57, 80
4, 33840, Note_on_c, 0, 60, 95
4, 33840, Note_on_c, 0, 57, 95
4, 34080, Note_off_c, 0, 60, 80
4, 34080, Note_off_c, 0, 57, 80
4, 34080, Note_on_c, 0, 62, 95
4, 34080, Note_on_c, 0, 59, 95
4, 34320, Note_off_c, 0, 62, 80
4, 34320, Note_off_c, 0, 59, 80
4, 34320, Note_on_c, 1, 58, 63
4, 34320, Pitch_bend_c, 1, 8192
4, 34352, Pitch_bend_c, 1, 8320
4, 34384, Pitch_bend_c, 1, 8448
4, 34432, Pitch_bend_c, 1, 8576
4, 34464, Pitch_bend_c, 1, 8704
4, 34512, Pitch_bend_c, 1, 8832
4, 34740, Note_off_c, 1, 58, 80
4, 34740, Pitch_bend_c, 1, 8192
4, 34800, Note_on_c, 0, 57, 95
4, 35040, Note_off_c, 0, 57, 80
4, 35040, Note_on_c, 0, 57, 79
4, 35760, Note_off_c, 0, 57, 80
4, 35760, Note_on_c, 0, 52, 95
4, 36000, Note_off_c, 0, 52, 80
4, 36000, Note_on_c, 0, 55, 95
4, 36240, Note_off_c, 0, 55, 80
4, 36240, Note_on_c, 0, 52, 95
4, 36480, Note_off_c, 0, 52, 80
4, 36480, Note_on_c, 0, 57, 111
4, 37920, Note_off_c, 0, 57, 80
4, 38160, Note_on_c, 0, 59, 47
4, 40320, Note_off_c, 0, 59, 80
4, 40320, Program_c, 0, 18
4, 40320, Program_c, 1, 18
4, 40320, Control_c, 0, 7, 72
4, 40320, Control_c, 1, 7, 72
4, 40320, Note_on_c, 0, 86, 127
