['5', ' 11520', ' 1', ' 1', ' 41', ' 127']
['5', ' 11772', ' 0', ' 1', ' 41', ' 64']
['5', ' 11808', ' 1', ' 1', ' 41', ' 127']
['5', ' 11904', ' 0', ' 1', ' 41', ' 64']
['5', ' 11904', ' 1', ' 1', ' 41', ' 127']
['5', ' 12078', ' 0', ' 1', ' 41', ' 64']
['5', ' 12096', ' 1', ' 1', ' 40', ' 127']
['5', ' 12270', ' 0', ' 1', ' 40', ' 64']
['5', ' 12288', ' 1', ' 1', ' 38', ' 127']
['5', ' 12576', ' 1', ' 1', ' 33', ' 127']
['5', ' 12582', ' 0', ' 1', ' 38', ' 64']
['5', ' 12672', ' 0', ' 1', ' 33', ' 64']
['5', ' 12672', ' 1', ' 1', ' 38', ' 127']
['5', ' 12713', ' 0', ' 1', ' 38', ' 64']
['5', ' 12768', ' 1', ' 1', ' 38', ' 127']
['5', ' 12822', ' 0', ' 1', ' 38', ' 64']
['5', ' 12864', ' 1', ' 1', ' 38', ' 127']
['5', ' 12947', ' 0', ' 1', ' 38', ' 64']
['5', ' 12960', ' 1', ' 1', ' 33', ' 127']
['5', ' 13044', ' 0', ' 1', ' 33', ' 64']
['5', ' 13056', ' 1', ' 1', ' 43', ' 127']
['5', ' 13230', ' 0', ' 1', ' 43', ' 64']
['5', ' 13248', ' 1', ' 1', ' 33', ' 127']
['5', ' 13422', ' 0', ' 1', ' 33', ' 64']
['5', ' 13440', ' 1', ' 1', ' 35', ' 127']
['5', ' 13728', ' 1', ' 1', ' 38', ' 127']
['5', ' 13742', ' 0', ' 1', ' 35', ' 64']
['5', ' 13788', ' 0', ' 1', ' 38', ' 64']
['5', ' 13824', ' 1', ' 1', ' 33', ' 127']
['5', ' 14073', ' 0', ' 1', ' 33', ' 64']
['5', ' 14112', ' 1', ' 1', ' 33', ' 127']
['5', ' 14169', ' 0', ' 1', ' 33', ' 64']
['5', ' 14208', ' 1', ' 1', ' 44', ' 127']
['5', ' 14452', ' 0', ' 1', ' 44', ' 64']
['5', ' 14496', ' 1', ' 1', ' 44', ' 127']
['5', ' 14560', ' 0', ' 1', ' 44', ' 64']
['5', ' 14592', ' 1', ' 1', ' 43', ' 127']
['5', ' 14745', ' 0', ' 1', ' 43', ' 64']
['5', ' 14784', ' 1', ' 1', ' 43', ' 127']
['5', ' 14907', ' 0', ' 1', ' 43', ' 64']
