['2', ' 0', ' 3', ' 0', ' 0']
['3', ' 15040', ' 0', ' 1', ' 69', ' 64']
['3', ' 15072', ' 1', ' 1', ' 69', ' 79']
['3', ' 15232', ' 0', ' 1', ' 69', ' 64']
['3', ' 15360', ' 1', ' 1', ' 76', ' 79']
['3', ' 15424', ' 0', ' 1', ' 76', ' 64']
['3', ' 15552', ' 1', ' 1', ' 67', ' 79']
['3', ' 15616', ' 0', ' 1', ' 67', ' 64']
['3', ' 15648', ' 1', ' 1', ' 69', ' 79']
['3', ' 15808', ' 0', ' 1', ' 69', ' 64']
['3', ' 15840', ' 1', ' 1', ' 69', ' 79']
['3', ' 15904', ' 0', ' 1', ' 69', ' 64']
['3', ' 16032', ' 1', ' 1', ' 76', ' 79']
['3', ' 16096', ' 0', ' 1', ' 76', ' 64']
['3', ' 16128', ' 1', ' 1', ' 77', ' 79']
['3', ' 16224', ' 0', ' 1', ' 77', ' 64']
['3', ' 16224', ' 1', ' 1', ' 76', ' 79']
['3', ' 16320', ' 0', ' 1', ' 76', ' 64']
['3', ' 16320', ' 1', ' 1', ' 74', ' 79']
['3', ' 16384', ' 0', ' 1', ' 74', ' 64']
['3', ' 16416', ' 1', ' 1', ' 72', ' 79']
['3', ' 16480', ' 0', ' 1', ' 72', ' 64']
['3', ' 16512', ' 1', ' 1', ' 76', ' 79']
['3', ' 16640', ' 0', ' 1', ' 76', ' 64']
['3', ' 16704', ' 1', ' 1', ' 74', ' 79']
['3', ' 16800', ' 0', ' 1', ' 74', ' 64']
['3', ' 16800', ' 1', ' 1', ' 72', ' 79']
['3', ' 16864', ' 0', ' 1', ' 72', ' 64']
['3', ' 17664', ' 1', ' 1', ' 76', ' 79']
['3', ' 17728', ' 0', ' 1', ' 76', ' 64']
['3', ' 17760', ' 1', ' 1', ' 67', ' 79']
['3', ' 17824', ' 0', ' 1', ' 67', ' 64']
['3', ' 17856', ' 1', ' 1', ' 67', ' 79']
['3', ' 17920', ' 0', ' 1', ' 67', ' 64']
['3', ' 17952', ' 1', ' 1', ' 69', ' 79']
['3', ' 18112', ' 0', ' 1', ' 69', ' 64']
['3', ' 18144', ' 1', ' 1', ' 69', ' 79']
['3', ' 18304', ' 0', ' 1', ' 69', ' 64']
['3', ' 18432', ' 1', ' 1', ' 76', ' 79']
['3', ' 18496', ' 0', ' 1', ' 76', ' 64']
['3', ' 18624', ' 1', ' 1', ' 67', ' 79']
['3', ' 18688', ' 0', ' 1', ' 67', ' 64']
['3', ' 18720', ' 1', ' 1', ' 69', ' 79']
['3', ' 18880', ' 0', ' 1', ' 69', ' 64']
['3', ' 18912', ' 1', ' 1', ' 69', ' 79']
['3', ' 18976', ' 0', ' 1', ' 69', ' 64']
['3', ' 19104', ' 1', ' 1', ' 69', ' 79']
['3', ' 19168', ' 0', ' 1', ' 69', ' 64']
['3', ' 19200', ' 1', ' 1', ' 69', ' 79']
['3', ' 19264', ' 0', ' 1', ' 69', ' 64']
['3', ' 19296', ' 1', ' 1', ' 69', ' 79']
['3', ' 19360', ' 0', ' 1', ' 69', ' 64']
['3', ' 19392', ' 1', ' 1', ' 69', ' 79']
['3', ' 19456', ' 0', ' 1', ' 69', ' 64']
['3', ' 19488', ' 1', ' 1', ' 69', ' 79']
['3', ' 19552', ' 0', ' 1', ' 69', ' 64']
['3', ' 19584', ' 1', ' 1', ' 72', ' 79']
['3', ' 19680', ' 0', ' 1', ' 72', ' 64']
['3', ' 19680', ' 1', ' 1', ' 69', ' 79']
['3', ' 19904', ' 0', ' 1', ' 69', ' 64']
['3', ' 20448', ' 1', ' 1', ' 72', ' 79']
['3', ' 20512', ' 0', ' 1', ' 72', ' 64']
['3', ' 20544', ' 1', ' 1', ' 69', ' 79']
['3', ' 20704', ' 0', ' 1', ' 69', ' 64']
['3', ' 20736', ' 1', ' 1', ' 69', ' 79']
['3', ' 20896', ' 0', ' 1', ' 69', ' 64']
['3', ' 20928', ' 1', ' 1', ' 69', ' 79']
['3', ' 20992', ' 0', ' 1', ' 69', ' 64']
['3', ' 21024', ' 1', ' 1', ' 69', ' 79']
['3', ' 21088', ' 0', ' 1', ' 69', ' 64']
['3', ' 21216', ' 1', ' 1', ' 76', ' 79']
['3', ' 21408', ' 0', ' 1', ' 76', ' 64']
['3', ' 21408', ' 1', ' 1', ' 69', ' 79']
['3', ' 21472', ' 0', ' 1', ' 69', ' 64']
['3', ' 22176', ' 1', ' 1', ' 69', ' 79']
['3', ' 22240', ' 0', ' 1', ' 69', ' 64']
['3', ' 22272', ' 1', ' 1', ' 69', ' 79']
['3', ' 22336', ' 0', ' 1', ' 69', ' 64']
['3', ' 22368', ' 1', ' 1', ' 69', ' 79']
['3', ' 22432', ' 0', ' 1', ' 69', ' 64']
['3', ' 22464', ' 1', ' 1', ' 69', ' 79']
['3', ' 22624', ' 0', ' 1', ' 69', ' 64']
['3', ' 22656', ' 1', ' 1', ' 72', ' 79']
['3', ' 22720', ' 0', ' 1', ' 72', ' 64']
['3', ' 22752', ' 1', ' 1', ' 69', ' 79']
['3', ' 22944', ' 0', ' 1', ' 69', ' 64']
['3', ' 22944', ' 1', ' 1', ' 67', ' 79']
['3', ' 23040', ' 0', ' 1', ' 67', ' 64']
['3', ' 23040', ' 1', ' 1', ' 69', ' 79']
['3', ' 23104', ' 0', ' 1', ' 69', ' 64']
['3', ' 23616', ' 1', ' 1', ' 69', ' 79']
['3', ' 23680', ' 0', ' 1', ' 69', ' 64']
['3', ' 23712', ' 1', ' 1', ' 67', ' 79']
['3', ' 23776', ' 0', ' 1', ' 67', ' 64']
['3', ' 23808', ' 1', ' 1', ' 69', ' 79']
['3', ' 23872', ' 0', ' 1', ' 69', ' 64']
['3', ' 23904', ' 1', ' 1', ' 69', ' 79']
['3', ' 23968', ' 0', ' 1', ' 69', ' 64']
['3', ' 24000', ' 1', ' 1', ' 69', ' 79']
['3', ' 24064', ' 0', ' 1', ' 69', ' 64']
['3', ' 24096', ' 1', ' 1', ' 69', ' 79']
['3', ' 24160', ' 0', ' 1', ' 69', ' 64']
['3', ' 24288', ' 1', ' 1', ' 74', ' 79']
['3', ' 24480', ' 0', ' 1', ' 74', ' 64']
['3', ' 24480', ' 1', ' 1', ' 72', ' 79']
['3', ' 24576', ' 0', ' 1', ' 72', ' 64']
['3', ' 24576', ' 1', ' 1', ' 69', ' 79']
['3', ' 24640', ' 0', ' 1', ' 69', ' 64']
['3', ' 25248', ' 1', ' 1', ' 69', ' 79']
['3', ' 25312', ' 0', ' 1', ' 69', ' 64']
['3', ' 25344', ' 1', ' 1', ' 69', ' 79']
['3', ' 25408', ' 0', ' 1', ' 69', ' 64']
['3', ' 25440', ' 1', ' 1', ' 69', ' 79']
['3', ' 25504', ' 0', ' 1', ' 69', ' 64']
['3', ' 25536', ' 1', ' 1', ' 69', ' 79']
['3', ' 25600', ' 0', ' 1', ' 69', ' 64']
['3', ' 25632', ' 1', ' 1', ' 69', ' 79']
['3', ' 25696', ' 0', ' 1', ' 69', ' 64']
['3', ' 25728', ' 1', ' 1', ' 72', ' 79']
['3', ' 25792', ' 0', ' 1', ' 72', ' 64']
