['2', ' 0', ' 3', ' 0', ' 101']
['3', ' 91792', ' 1', ' 1', ' 64', ' 100']
['3', ' 91910', ' 1', ' 1', ' 65', ' 100']
['3', ' 91912', ' 1', ' 1', ' 64', ' 0']
['3', ' 92030', ' 1', ' 1', ' 65', ' 0']
['3', ' 92030', ' 1', ' 1', ' 69', ' 100']
['3', ' 92150', ' 1', ' 1', ' 69', ' 0']
['3', ' 92160', ' 1', ' 1', ' 67', ' 100']
['3', ' 92280', ' 1', ' 1', ' 67', ' 0']
['3', ' 92286', ' 1', ' 1', ' 64', ' 100']
['3', ' 92526', ' 1', ' 1', ' 64', ' 0']
['3', ' 92974', ' 1', ' 1', ' 72', ' 100']
['3', ' 93094', ' 1', ' 1', ' 72', ' 0']
['3', ' 93120', ' 1', ' 1', ' 70', ' 100']
['3', ' 93240', ' 1', ' 1', ' 70', ' 0']
['3', ' 93264', ' 1', ' 1', ' 72', ' 100']
['3', ' 93480', ' 1', ' 1', ' 72', ' 100']
['3', ' 93504', ' 1', ' 1', ' 72', ' 0']
['3', ' 93600', ' 1', ' 1', ' 72', ' 0']
['3', ' 93600', ' 1', ' 1', ' 67', ' 100']
['3', ' 93716', ' 1', ' 1', ' 70', ' 100']
['3', ' 93720', ' 1', ' 1', ' 67', ' 0']
['3', ' 93828', ' 1', ' 1', ' 72', ' 100']
['3', ' 93836', ' 1', ' 1', ' 70', ' 0']
['3', ' 94068', ' 1', ' 1', ' 72', ' 0']
['3', ' 94098', ' 1', ' 1', ' 75', ' 100']
['3', ' 94188', ' 1', ' 1', ' 77', ' 100']
['3', ' 94218', ' 1', ' 1', ' 75', ' 0']
['3', ' 94302', ' 1', ' 1', ' 75', ' 100']
['3', ' 94308', ' 1', ' 1', ' 77', ' 0']
['3', ' 94422', ' 1', ' 1', ' 75', ' 0']
['3', ' 94446', ' 1', ' 1', ' 77', ' 100']
['3', ' 94680', ' 1', ' 1', ' 77', ' 100']
['3', ' 94686', ' 1', ' 1', ' 77', ' 0']
['3', ' 94800', ' 1', ' 1', ' 77', ' 0']
['3', ' 94800', ' 1', ' 1', ' 77', ' 100']
['3', ' 94920', ' 1', ' 1', ' 77', ' 0']
['3', ' 94920', ' 1', ' 1', ' 75', ' 100']
['3', ' 95040', ' 1', ' 1', ' 75', ' 0']
['3', ' 95040', ' 1', ' 1', ' 67', ' 100']
['3', ' 95160', ' 1', ' 1', ' 67', ' 0']
['3', ' 95160', ' 1', ' 1', ' 70', ' 100']
['3', ' 95280', ' 1', ' 1', ' 70', ' 0']
['3', ' 95280', ' 1', ' 1', ' 72', ' 100']
['3', ' 95400', ' 1', ' 1', ' 72', ' 0']
['3', ' 95400', ' 1', ' 1', ' 75', ' 100']
['3', ' 95520', ' 1', ' 1', ' 75', ' 0']
['3', ' 95520', ' 1', ' 1', ' 72', ' 100']
['3', ' 95640', ' 1', ' 1', ' 72', ' 0']
['3', ' 95640', ' 1', ' 1', ' 65', ' 100']
['3', ' 95760', ' 1', ' 1', ' 65', ' 0']
['3', ' 95760', ' 1', ' 1', ' 67', ' 100']
['3', ' 95880', ' 1', ' 1', ' 67', ' 0']
['3', ' 95880', ' 1', ' 1', ' 70', ' 100']
['3', ' 96240', ' 1', ' 1', ' 70', ' 0']
['3', ' 96342', ' 1', ' 1', ' 77', ' 100']
['3', ' 96462', ' 1', ' 1', ' 77', ' 0']
['3', ' 96474', ' 1', ' 1', ' 75', ' 100']
['3', ' 96594', ' 1', ' 1', ' 75', ' 0']
['3', ' 96622', ' 1', ' 1', ' 72', ' 100']
['3', ' 96720', ' 1', ' 1', ' 70', ' 100']
['3', ' 96742', ' 1', ' 1', ' 72', ' 0']
['3', ' 96834', ' 1', ' 1', ' 67', ' 100']
['3', ' 96840', ' 1', ' 1', ' 70', ' 0']
['3', ' 96954', ' 1', ' 1', ' 67', ' 0']
['3', ' 96960', ' 1', ' 1', ' 65', ' 100']
['3', ' 97080', ' 1', ' 1', ' 65', ' 0']
['3', ' 97080', ' 1', ' 1', ' 64', ' 100']
['3', ' 97200', ' 1', ' 1', ' 64', ' 0']
['3', ' 97200', ' 1', ' 1', ' 64', ' 100']
['3', ' 97432', ' 1', ' 1', ' 64', ' 100']
['3', ' 97560', ' 1', ' 1', ' 64', ' 0']
['3', ' 97672', ' 1', ' 1', ' 64', ' 0']
['3', ' 97800', ' 1', ' 1', ' 64', ' 100']
['3', ' 97912', ' 1', ' 1', ' 64', ' 100']
['3', ' 97920', ' 1', ' 1', ' 64', ' 0']
['3', ' 98018', ' 1', ' 1', ' 64', ' 100']
['3', ' 98152', ' 1', ' 1', ' 64', ' 0']
['3', ' 98258', ' 1', ' 1', ' 64', ' 0']
['3', ' 99360', ' 1', ' 1', ' 55', ' 100']
['3', ' 99412', ' 1', ' 1', ' 55', ' 100']
['3', ' 99420', ' 1', ' 1', ' 55', ' 0']
['3', ' 99472', ' 1', ' 1', ' 55', ' 0']
['3', ' 99476', ' 1', ' 1', ' 58', ' 100']
['3', ' 99518', ' 1', ' 1', ' 58', ' 100']
['3', ' 99536', ' 1', ' 1', ' 58', ' 0']
