3, 157200, Text_t, " then"
3, 157440, Text_t, " you"
3, 157680, Text_t, " cut"
3, 158040, Text_t, " the"
3, 158160, Text_t, " string"
3, 158160, End_track
4, 0, Start_track
4, 0, Title_t, "Jonny Greenwood"
4, 0, Control_c, 1, 100, 0
4, 0, Control_c, 1, 101, 0
4, 0, Control_c, 1, 6, 12
4, 0, Pitch_bend_c, 1, 8192
4, 0, Control_c, 1, 101, 0
4, 0, Control_c, 1, 100, 1
4, 0, Control_c, 1, 6, 64
4, 0, Control_c, 1, 38, 0
4, 0, Control_c, 1, 101, 127
4, 0, Control_c, 1, 100, 127
4, 0, Control_c, 0, 100, 0
4, 0, Control_c, 0, 101, 0
4, 0, Control_c, 0, 6, 12
4, 0, Pitch_bend_c, 0, 8192
4, 0, Control_c, 0, 101, 0
4, 0, Control_c, 0, 100, 1
4, 0, Control_c, 0, 6, 64
4, 0, Control_c, 0, 38, 0
4, 0, Control_c, 0, 101, 127
4, 0, Control_c, 0, 100, 127
4, 0, Control_c, 1, 101, 0
4, 0, Control_c, 1, 100, 2
4, 0, Control_c, 1, 6, 64
4, 0, Control_c, 1, 101, 127
4, 0, Control_c, 1, 100, 127
4, 0, Control_c, 0, 101, 0
4, 0, Control_c, 0, 100, 2
4, 0, Control_c, 0, 6, 64
4, 0, Control_c, 0, 101, 127
4, 0, Control_c, 0, 100, 127
4, 0, Program_c, 1, 26
4, 0, Program_c, 0, 26
4, 0, Control_c, 1, 0, 0
4, 0, Control_c, 0, 0, 0
4, 0, Control_c, 1, 7, 104
4, 0, Control_c, 0, 7, 104
4, 0, Control_c, 1, 10, 64
4, 0, Control_c, 0, 10, 64
4, 0, Control_c, 1, 93, 0
4, 0, Control_c, 0, 93, 0
4, 0, Control_c, 1, 91, 0
4, 0, Control_c, 0, 91, 0
4, 0, Control_c, 1, 92, 0
4, 0, Control_c, 0, 92, 0
4, 0, Control_c, 1, 95, 0
4, 0, Control_c, 0, 95, 0
4, 31200, Note_on_c, 0, 56, 95
4, 31560, Note_off_c, 0, 56, 80
4, 31560, Note_on_c, 0, 63, 63
4, 31560, Note_on_c, 0, 59, 63
4, 31920, Note_off_c, 0, 63, 80
4, 31920, Note_off_c, 0, 59, 80
4, 31920, Note_on_c, 0, 61, 63
4, 31920, Note_on_c, 0, 58, 63
4, 32160, Note_off_c, 0, 61, 80
4, 32160, Note_off_c, 0, 58, 80
4, 32160, Note_on_c, 1, 63, 63
4, 32160, Note_on_c, 0, 59, 63
4, 32214, Pitch_bend_c, 1, 8832
4, 32220, Pitch_bend_c, 1, 9600
4, 32220, Note_off_c, 0, 59, 80
4, 32220, Note_on_c, 0, 60, 63
4, 32280, Note_off_c, 1, 63, 80
4, 32280, Pitch_bend_c, 1, 8192
4, 32280, Note_off_c, 0, 60, 80
4, 32280, Note_on_c, 0, 61, 63
4, 32400, Note_on_c, 0, 49, 95
4, 32760, Note_off_c, 0, 61, 80
4, 32760, Note_on_c, 0, 65, 63
4, 32760, Note_on_c, 0, 61, 63
4, 33000, Note_off_c, 0, 65, 80
4, 33000, Note_on_c, 0, 53, 63
4, 33120, Note_off_c, 0, 61, 80
4, 33120, Note_off_c, 0, 53, 80
4, 33120, Note_on_c, 0, 63, 63
4, 33120, Note_on_c, 0, 59, 63
4, 33360, Note_off_c, 0, 63, 80
4, 33360, Note_on_c, 0, 63, 63
4, 33450, Note_off_c, 0, 63, 80
4, 33450, Note_on_c, 0, 64, 63
4, 33540, Note_off_c, 0, 64, 80
4, 33540, Note_on_c, 0, 65, 63
4, 33600, Note_off_c, 0, 49, 80
4, 33600, Note_off_c, 0, 65, 80
4, 33600, Note_on_c, 0, 51, 95
4, 33960, Note_off_c, 0, 59, 80
4, 33960, Note_off_c, 0, 51, 80
4, 33960, Note_on_c, 0, 66, 63
4, 33960, Note_on_c, 0, 63, 63
4, 34200, Note_off_c, 0, 66, 80
4, 34200, Note_off_c, 0, 63, 80
4, 34200, Note_on_c, 0, 58, 63
4, 34320, Note_off_c, 0, 58, 80
4, 34320, Note_on_c, 0, 65, 63
4, 34320, Note_on_c, 0, 61, 63
4, 34560, Note_off_c, 0, 65, 80
4, 34560, Note_off_c, 0, 61, 80
4, 34560, Note_on_c, 0, 63, 63
4, 34800, Note_off_c, 0, 63, 80
4, 34800, Note_on_c, 0, 49, 95
4, 35160, Note_off_c, 0, 49, 80
4, 35160, Note_on_c, 0, 65, 63
4, 35160, Note_on_c, 0, 61, 63
4, 35400, Note_off_c, 0, 65, 80
4, 35400, Note_off_c, 0, 61, 80
4, 35400, Note_on_c, 0, 56, 63
4, 35520, Note_off_c, 0, 56, 80
4, 35520, Note_on_c, 0, 63, 63
4, 35520, Note_on_c, 0, 59, 63
4, 35640, Note_off_c, 0, 63, 80
4, 35640, Note_off_c, 0, 59, 80
4, 35640, Note_on_c, 0, 65, 63
4, 35760, Note_off_c, 0, 65, 80
4, 35760, Note_on_c, 0, 59, 63
4, 35760, Note_on_c, 0, 56, 63
4, 35880, Note_off_c, 0, 59, 80
4, 35880, Note_off_c, 0, 56, 80
4, 35880, Note_on_c, 0, 58, 63
4, 36000, Note_off_c, 0, 58, 80
4, 36000, Note_on_c, 0, 56, 95
4, 36360, Note_off_c, 0, 56, 80
4, 36360, Note_on_c, 0, 63, 63
4, 36360, Note_on_c, 0, 59, 63
4, 36720, Note_off_c, 0, 63, 80
4, 36720, Note_off_c, 0, 59, 80
4, 36720, Note_on_c, 0, 61, 63
4, 36720, Note_on_c, 0, 58, 63
4, 36960, Note_off_c, 0, 61, 80
4, 36960, Note_off_c, 0, 58, 80
4, 36960, Note_on_c, 1, 63, 63
4, 36960, Note_on_c, 0, 59, 63
4, 37014, Pitch_bend_c, 1, 8832
4, 37020, Pitch_bend_c, 1, 9600
4, 37020, Note_off_c, 0, 59, 80
4, 37020, Note_on_c, 0, 60, 63
4, 37080, Note_off_c, 1, 63, 80
4, 37080, Pitch_bend_c, 1, 8192
4, 37080, Note_off_c, 0, 60, 80
4, 37080, Note_on_c, 0, 61, 63
4, 37200, Note_on_c, 0, 49, 95
4, 37560, Note_off_c, 0, 61, 80
4, 37560, Note_on_c, 0, 65, 63
4, 37560, Note_on_c, 0, 61, 63
4, 37800, Note_off_c, 0, 65, 80
4, 37800, Note_on_c, 0, 53, 63
4, 37920, Note_off_c, 0, 61, 80
4, 37920, Note_off_c, 0, 53, 80
4, 37920, Note_on_c, 0, 63, 63
4, 37920, Note_on_c, 0, 59, 63
4, 38160, Note_off_c, 0, 63, 80
4, 38160, Note_on_c, 0, 63, 63
4, 38250, Note_off_c, 0, 63, 80
4, 38250, Note_on_c, 0, 64, 63
4, 38340, Note_off_c, 0, 64, 80
4, 38340, Note_on_c, 0, 65, 63
4, 38400, Note_off_c, 0, 49, 80
4, 38400, Note_off_c, 0, 65, 80
4, 38400, Note_on_c, 0, 51, 95
4, 38760, Note_off_c, 0, 59, 80
4, 38760, Note_off_c, 0, 51, 80
4, 38760, Note_on_c, 0, 66, 63
4, 38760, Note_on_c, 0, 63, 63
4, 39000, Note_off_c, 0, 66, 80
4, 39000, Note_off_c, 0, 63, 80
4, 39000, Note_on_c, 0, 58, 63
4, 39120, Note_off_c, 0, 58, 80
4, 39120, Note_on_c, 0, 65, 63
4, 39120, Note_on_c, 0, 61, 63
4, 39360, Note_off_c, 0, 65, 80
4, 39360, Note_off_c, 0, 61, 80
4, 39360, Note_on_c, 0, 63, 63
4, 39600, Note_off_c, 0, 63, 80
4, 39600, Note_on_c, 0, 49, 95
4, 39960, Note_off_c, 0, 49, 80
4, 39960, Note_on_c, 0, 65, 63
4, 39960, Note_on_c, 0, 61, 63
4, 40200, Note_off_c, 0, 65, 80
4, 40200, Note_off_c, 0, 61, 80
4, 40200, Note_on_c, 0, 56, 63
4, 40320, Note_off_c, 0, 56, 80
4, 40320, Note_on_c, 0, 63, 63
4, 40320, Note_on_c, 0, 59, 63
4, 40440, Note_off_c, 0, 63, 80
4, 40440, Note_off_c, 0, 59, 80
4, 40440, Note_on_c, 0, 65, 63
4, 40560, Note_off_c, 0, 65, 80
4, 40560, Note_on_c, 0, 59, 63
4, 40560, Note_on_c, 0, 56, 63
4, 40680, Note_off_c, 0, 59, 80
4, 40680, Note_off_c, 0, 56, 80
4, 40680, Note_on_c, 0, 58, 63
4, 40800, Note_off_c, 0, 58, 80
4, 41160, Note_on_c, 0, 63, 63
4, 41160, Note_on_c, 0, 59, 63
4, 41520, Note_off_c, 0, 63, 80
4, 41520, Note_off_c, 0, 59, 80
4, 41520, Note_on_c, 0, 61, 63
4, 41520, Note_on_c, 0, 58, 63
4, 41760, Note_off_c, 0, 61, 80
4, 41760, Note_off_c, 0, 58, 80
4, 41760, Note_on_c, 1, 63, 63
4, 41760, Note_on_c, 0, 59, 63
4, 41814, Pitch_bend_c, 1, 8832
4, 41820, Pitch_bend_c, 1, 9600
4, 41820, Note_off_c, 0, 59, 80
4, 41820, Note_on_c, 0, 60, 63
4, 41880, Note_off_c, 1, 63, 80
4, 41880, Pitch_bend_c, 1, 8192
4, 41880, Note_off_c, 0, 60, 80
4, 41880, Note_on_c, 0, 61, 63
4, 42360, Note_off_c, 0, 61, 80
4, 42360, Note_on_c, 0, 65, 63
4, 42360, Note_on_c, 0, 61, 63
4, 42600, Note_off_c, 0, 65, 80
4, 42600, Note_on_c, 0, 53, 63
4, 42720, Note_off_c, 0, 61, 80
4, 42720, Note_off_c, 0, 53, 80
4, 42720, Note_on_c, 0, 63, 63
4, 42720, Note_on_c, 0, 59, 63
4, 42960, Note_off_c, 0, 63, 80
4, 42960, Note_on_c, 0, 63, 63
4, 43050, Note_off_c, 0, 63, 80
4, 43050, Note_on_c, 0, 64, 63
4, 43140, Note_off_c, 0, 64, 80
4, 43140, Note_on_c, 0, 65, 63
4, 43200, Note_off_c, 0, 59, 80
4, 43200, Note_off_c, 0, 65, 80
4, 43560, Note_on_c, 0, 66, 63
4, 43560, Note_on_c, 0, 63, 63
4, 43800, Note_off_c, 0, 66, 80
4, 43800, Note_off_c, 0, 63, 80
4, 43800, Note_on_c, 0, 58, 63
4, 43920, Note_off_c, 0, 58, 80
4, 43920, Note_on_c, 0, 65, 63
4, 43920, Note_on_c, 0, 61, 63
4, 44160, Note_off_c, 0, 65, 80
4, 44160, Note_off_c, 0, 61, 80
4, 44160, Note_on_c, 0, 63, 63
4, 44400, Note_off_c, 0, 63, 80
4, 44760, Note_on_c, 0, 65, 63
4, 44760, Note_on_c, 0, 61, 63
4, 45000, Note_off_c, 0, 65, 80
4, 45000, Note_off_c, 0, 61, 80
4, 45000, Note_on_c, 0, 56, 63
4, 45120, Note_off_c, 0, 56, 80
4, 45120, Note_on_c, 0, 63, 63
4, 45120, Note_on_c, 0, 59, 63
4, 45240, Note_off_c, 0, 63, 80
4, 45240, Note_off_c, 0, 59, 80
4, 45240, Note_on_c, 0, 65, 63
4, 45360, Note_off_c, 0, 65, 80
4, 45360, Note_on_c, 0, 59, 63
4, 45360, Note_on_c, 0, 56, 63
4, 45480, Note_off_c, 0, 59, 80
4, 45480, Note_off_c, 0, 56, 80
4, 45480, Note_on_c, 0, 58, 63
4, 45600, Note_off_c, 0, 58, 80
4, 45960, Note_on_c, 0, 63, 63
4, 45960, Note_on_c, 0, 59, 63
4, 46320, Note_off_c, 0, 63, 80
4, 46320, Note_off_c, 0, 59, 80
4, 46320, Note_on_c, 0, 61, 63
4, 46320, Note_on_c, 0, 58, 63
4, 46560, Note_off_c, 0, 61, 80
4, 46560, Note_off_c, 0, 58, 80
4, 46560, Note_on_c, 1, 63, 63
4, 46560, Note_on_c, 0, 59, 63
4, 46614, Pitch_bend_c, 1, 8832
4, 46620, Pitch_bend_c, 1, 9600
4, 46620, Note_off_c, 0, 59, 80
4, 46620, Note_on_c, 0, 60, 63
4, 46680, Note_off_c, 1, 63, 80
4, 46680, Pitch_bend_c, 1, 8192
4, 46680, Note_off_c, 0, 60, 80
4, 46680, Note_on_c, 0, 61, 63
4, 47160, Note_off_c, 0, 61, 80
4, 47160, Note_on_c, 0, 65, 63
4, 47160, Note_on_c, 0, 61, 63
4, 47400, Note_off_c, 0, 65, 80
4, 47400, Note_on_c, 0, 53, 63
4, 47520, Note_off_c, 0, 61, 80
4, 47520, Note_off_c, 0, 53, 80
4, 47520, Note_on_c, 0, 63, 63
4, 47520, Note_on_c, 0, 59, 63
4, 47760, Note_off_c, 0, 63, 80
4, 47760, Note_on_c, 0, 63, 63
4, 47850, Note_off_c, 0, 63, 80
4, 47850, Note_on_c, 0, 64, 63
4, 47940, Note_off_c, 0, 64, 80
4, 47940, Note_on_c, 0, 65, 63
4, 48000, Note_off_c, 0, 59, 80
4, 48000, Note_off_c, 0, 65, 80
4, 48360, Note_on_c, 0, 66, 63
4, 48360, Note_on_c, 0, 63, 63
4, 48600, Note_off_c, 0, 66, 80
4, 48600, Note_off_c, 0, 63, 80
4, 48600, Note_on_c, 0, 58, 63
4, 48720, Note_off_c, 0, 58, 80
4, 48720, Note_on_c, 0, 65, 63
4, 48720, Note_on_c, 0, 61, 63
4, 48960, Note_off_c, 0, 65, 80
4, 48960, Note_off_c, 0, 61, 80
4, 48960, Note_on_c, 0, 63, 63
4, 49200, Note_off_c, 0, 63, 80
4, 49560, Note_on_c, 0, 65, 63
4, 49560, Note_on_c, 0, 61, 63
4, 49800, Note_off_c, 0, 65, 80
4, 49800, Note_off_c, 0, 61, 80
4, 49800, Note_on_c, 0, 56, 63
4, 49920, Note_off_c, 0, 56, 80
4, 49920, Note_on_c, 0, 63, 63
4, 49920, Note_on_c, 0, 59, 63
4, 50040, Note_off_c, 0, 63, 80
4, 50040, Note_off_c, 0, 59, 80
4, 50040, Note_on_c, 0, 65, 63
4, 50160, Note_off_c, 0, 65, 80
4, 50160, Note_on_c, 0, 59, 63
4, 50160, Note_on_c, 0, 56, 63
4, 50280, Note_off_c, 0, 59, 80
4, 50280, Note_off_c, 0, 56, 80
4, 50280, Note_on_c, 0, 58, 63
4, 50400, Note_off_c, 0, 58, 80
4, 50760, Note_on_c, 0, 63, 63
4, 50760, Note_on_c, 0, 59, 63
4, 51120, Note_off_c, 0, 63, 80
4, 51120, Note_off_c, 0, 59, 80
4, 51120, Note_on_c, 0, 61, 63
4, 51120, Note_on_c, 0, 58, 63
4, 51360, Note_off_c, 0, 61, 80
4, 51360, Note_off_c, 0, 58, 80
4, 51360, Note_on_c, 1, 63, 63
4, 51360, Note_on_c, 0, 59, 63
4, 51414, Pitch_bend_c, 1, 8832
4, 51420, Pitch_bend_c, 1, 9600
4, 51420, Note_off_c, 0, 59, 80
4, 51420, Note_on_c, 0, 60, 63
4, 51480, Note_off_c, 1, 63, 80
4, 51480, Pitch_bend_c, 1, 8192
4, 51480, Note_off_c, 0, 60, 80
4, 51480, Note_on_c, 0, 61, 63
4, 51960, Note_off_c, 0, 61, 80
4, 51960, Note_on_c, 0, 65, 63
4, 51960, Note_on_c, 0, 61, 63
4, 52200, Note_off_c, 0, 65, 80
4, 52200, Note_on_c, 0, 53, 63
4, 52320, Note_off_c, 0, 61, 80
4, 52320, Note_off_c, 0, 53, 80
4, 52320, Note_on_c, 0, 63, 63
4, 52320, Note_on_c, 0, 59, 63
4, 52560, Note_off_c, 0, 63, 80
4, 52560, Note_on_c, 0, 63, 63
4, 52650, Note_off_c, 0, 63, 80
4, 52650, Note_on_c, 0, 64, 63
4, 52740, Note_off_c, 0, 64, 80
4, 52740, Note_on_c, 0, 65, 63
4, 52800, Note_off_c, 0, 59, 80
4, 52800, Note_off_c, 0, 65, 80
4, 53160, Note_on_c, 0, 66, 63
4, 53160, Note_on_c, 0, 63, 63
4, 53400, Note_off_c, 0, 66, 80
4, 53400, Note_off_c, 0, 63, 80
