['1', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 13920', ' 0', ' 0', ' 60', ' 95']
['2', ' 13920', ' 0', ' 0', ' 55', ' 95']
['2', ' 13920', ' 0', ' 0', ' 48', ' 95']
['2', ' 13920', ' 1', ' 0', ' 72', ' 95']
['2', ' 13920', ' 1', ' 0', ' 67', ' 95']
['2', ' 13920', ' 1', ' 0', ' 64', ' 95']
['2', ' 13920', ' 1', ' 0', ' 60', ' 95']
['2', ' 13920', ' 1', ' 0', ' 55', ' 95']
['2', ' 13920', ' 1', ' 0', ' 48', ' 95']
['2', ' 14400', ' 0', ' 0', ' 72', ' 95']
['2', ' 14400', ' 0', ' 0', ' 67', ' 95']
['2', ' 14400', ' 0', ' 0', ' 64', ' 95']
['2', ' 14400', ' 0', ' 0', ' 60', ' 95']
['2', ' 14400', ' 0', ' 0', ' 55', ' 95']
['2', ' 14400', ' 0', ' 0', ' 48', ' 95']
['2', ' 14400', ' 1', ' 0', ' 72', ' 127']
['2', ' 14400', ' 1', ' 0', ' 67', ' 127']
['2', ' 14400', ' 1', ' 0', ' 64', ' 127']
['2', ' 14400', ' 1', ' 0', ' 60', ' 127']
['2', ' 14400', ' 1', ' 0', ' 55', ' 127']
['2', ' 14400', ' 1', ' 0', ' 48', ' 127']
['2', ' 14880', ' 0', ' 0', ' 72', ' 127']
['2', ' 14880', ' 0', ' 0', ' 67', ' 127']
['2', ' 14880', ' 0', ' 0', ' 64', ' 127']
['2', ' 14880', ' 0', ' 0', ' 60', ' 127']
['2', ' 14880', ' 0', ' 0', ' 55', ' 127']
['2', ' 14880', ' 0', ' 0', ' 48', ' 127']
['2', ' 14880', ' 1', ' 0', ' 72', ' 95']
['2', ' 14880', ' 1', ' 0', ' 67', ' 95']
['2', ' 14880', ' 1', ' 0', ' 65', ' 95']
['2', ' 14880', ' 1', ' 0', ' 60', ' 95']
['2', ' 14880', ' 1', ' 0', ' 57', ' 95']
['2', ' 14880', ' 1', ' 0', ' 48', ' 95']
['2', ' 15360', ' 0', ' 0', ' 72', ' 95']
['2', ' 15360', ' 0', ' 0', ' 67', ' 95']
['2', ' 15360', ' 0', ' 0', ' 65', ' 95']
['2', ' 15360', ' 0', ' 0', ' 60', ' 95']
['2', ' 15360', ' 0', ' 0', ' 57', ' 95']
['2', ' 15360', ' 0', ' 0', ' 48', ' 95']
['2', ' 15360', ' 1', ' 0', ' 72', ' 127']
['2', ' 15360', ' 1', ' 0', ' 67', ' 127']
['2', ' 15360', ' 1', ' 0', ' 65', ' 127']
['2', ' 15360', ' 1', ' 0', ' 60', ' 127']
['2', ' 15360', ' 1', ' 0', ' 57', ' 127']
['2', ' 15360', ' 1', ' 0', ' 48', ' 127']
['2', ' 15840', ' 0', ' 0', ' 72', ' 127']
['2', ' 15840', ' 0', ' 0', ' 67', ' 127']
['2', ' 15840', ' 0', ' 0', ' 65', ' 127']
['2', ' 15840', ' 0', ' 0', ' 60', ' 127']
['2', ' 15840', ' 0', ' 0', ' 57', ' 127']
['2', ' 15840', ' 0', ' 0', ' 48', ' 127']
['2', ' 15840', ' 1', ' 0', ' 72', ' 127']
['2', ' 15840', ' 1', ' 0', ' 67', ' 127']
['2', ' 15840', ' 1', ' 0', ' 65', ' 127']
['2', ' 15840', ' 1', ' 0', ' 60', ' 127']
['2', ' 15840', ' 1', ' 0', ' 57', ' 127']
['2', ' 15840', ' 1', ' 0', ' 48', ' 127']
['2', ' 16320', ' 0', ' 0', ' 72', ' 127']
['2', ' 16320', ' 0', ' 0', ' 67', ' 127']
['2', ' 16320', ' 0', ' 0', ' 65', ' 127']
['2', ' 16320', ' 0', ' 0', ' 60', ' 127']
['2', ' 16320', ' 0', ' 0', ' 57', ' 127']
['2', ' 16320', ' 0', ' 0', ' 48', ' 127']
['2', ' 16320', ' 1', ' 0', ' 72', ' 127']
['2', ' 16320', ' 1', ' 0', ' 67', ' 127']
['2', ' 16320', ' 1', ' 0', ' 64', ' 127']
['2', ' 16320', ' 1', ' 0', ' 60', ' 127']
['2', ' 16320', ' 1', ' 0', ' 55', ' 127']
['2', ' 16320', ' 1', ' 0', ' 48', ' 127']
['2', ' 16800', ' 0', ' 0', ' 72', ' 127']
['2', ' 16800', ' 0', ' 0', ' 67', ' 127']
['2', ' 16800', ' 0', ' 0', ' 64', ' 127']
['2', ' 16800', ' 0', ' 0', ' 60', ' 127']
['2', ' 16800', ' 0', ' 0', ' 55', ' 127']
['2', ' 16800', ' 0', ' 0', ' 48', ' 127']
['2', ' 16800', ' 1', ' 0', ' 72', ' 127']
['2', ' 16800', ' 1', ' 0', ' 67', ' 127']
['2', ' 16800', ' 1', ' 0', ' 65', ' 127']
['2', ' 16800', ' 1', ' 0', ' 60', ' 127']
['2', ' 16800', ' 1', ' 0', ' 57', ' 127']
['2', ' 16800', ' 1', ' 0', ' 48', ' 127']
['2', ' 17280', ' 0', ' 0', ' 72', ' 127']
['2', ' 17280', ' 0', ' 0', ' 67', ' 127']
['2', ' 17280', ' 0', ' 0', ' 65', ' 127']
['2', ' 17280', ' 0', ' 0', ' 60', ' 127']
['2', ' 17280', ' 0', ' 0', ' 57', ' 127']
['2', ' 17280', ' 0', ' 0', ' 48', ' 127']
['2', ' 17280', ' 1', ' 0', ' 72', ' 127']
['2', ' 17280', ' 1', ' 0', ' 67', ' 127']
['2', ' 17280', ' 1', ' 0', ' 65', ' 127']
['2', ' 17280', ' 1', ' 0', ' 60', ' 127']
['2', ' 17280', ' 1', ' 0', ' 57', ' 127']
['2', ' 17280', ' 1', ' 0', ' 48', ' 127']
['2', ' 17760', ' 0', ' 0', ' 72', ' 127']
['2', ' 17760', ' 0', ' 0', ' 67', ' 127']
['2', ' 17760', ' 0', ' 0', ' 65', ' 127']
['2', ' 17760', ' 0', ' 0', ' 60', ' 127']
['2', ' 17760', ' 0', ' 0', ' 57', ' 127']
['2', ' 17760', ' 0', ' 0', ' 48', ' 127']
['2', ' 17760', ' 1', ' 0', ' 72', ' 127']
['2', ' 17760', ' 1', ' 0', ' 67', ' 127']
['2', ' 17760', ' 1', ' 0', ' 64', ' 127']
['2', ' 17760', ' 1', ' 0', ' 60', ' 127']
['2', ' 17760', ' 1', ' 0', ' 55', ' 127']
['2', ' 17760', ' 1', ' 0', ' 48', ' 127']
['2', ' 18240', ' 0', ' 0', ' 72', ' 127']
['2', ' 18240', ' 0', ' 0', ' 67', ' 127']
['2', ' 18240', ' 0', ' 0', ' 64', ' 127']
['2', ' 18240', ' 0', ' 0', ' 60', ' 127']
['2', ' 18240', ' 0', ' 0', ' 55', ' 127']
['2', ' 18240', ' 0', ' 0', ' 48', ' 127']
['2', ' 18240', ' 1', ' 0', ' 72', ' 95']
['2', ' 18240', ' 1', ' 0', ' 67', ' 95']
['2', ' 18240', ' 1', ' 0', ' 65', ' 95']
['2', ' 18240', ' 1', ' 0', ' 60', ' 95']
['2', ' 18240', ' 1', ' 0', ' 57', ' 95']
['2', ' 18240', ' 1', ' 0', ' 48', ' 95']
['2', ' 18720', ' 0', ' 0', ' 72', ' 95']
['2', ' 18720', ' 0', ' 0', ' 67', ' 95']
['2', ' 18720', ' 0', ' 0', ' 65', ' 95']
['2', ' 18720', ' 0', ' 0', ' 60', ' 95']
['2', ' 18720', ' 0', ' 0', ' 57', ' 95']
['2', ' 18720', ' 0', ' 0', ' 48', ' 95']
['2', ' 18720', ' 1', ' 0', ' 72', ' 95']
['2', ' 18720', ' 1', ' 0', ' 67', ' 95']
['2', ' 18720', ' 1', ' 0', ' 64', ' 95']
['2', ' 18720', ' 1', ' 0', ' 60', ' 95']
['2', ' 18720', ' 1', ' 0', ' 55', ' 95']
['2', ' 18720', ' 1', ' 0', ' 48', ' 95']
['2', ' 19200', ' 0', ' 0', ' 72', ' 95']
['2', ' 19200', ' 0', ' 0', ' 67', ' 95']
['2', ' 19200', ' 0', ' 0', ' 64', ' 95']
['2', ' 19200', ' 0', ' 0', ' 60', ' 95']
['2', ' 19200', ' 0', ' 0', ' 55', ' 95']
['2', ' 19200', ' 0', ' 0', ' 48', ' 95']
['2', ' 19200', ' 1', ' 0', ' 72', ' 95']
['2', ' 19200', ' 1', ' 0', ' 67', ' 95']
['2', ' 19200', ' 1', ' 0', ' 64', ' 95']
['2', ' 19200', ' 1', ' 0', ' 60', ' 95']
['2', ' 19200', ' 1', ' 0', ' 55', ' 95']
['2', ' 19200', ' 1', ' 0', ' 48', ' 95']
['2', ' 19680', ' 0', ' 0', ' 72', ' 95']
['2', ' 19680', ' 0', ' 0', ' 67', ' 95']
['2', ' 19680', ' 0', ' 0', ' 64', ' 95']
['2', ' 19680', ' 0', ' 0', ' 60', ' 95']
['2', ' 19680', ' 0', ' 0', ' 55', ' 95']
['2', ' 19680', ' 0', ' 0', ' 48', ' 95']
['2', ' 19680', ' 1', ' 0', ' 72', ' 95']
['2', ' 19680', ' 1', ' 0', ' 67', ' 95']
['2', ' 19680', ' 1', ' 0', ' 64', ' 95']
['2', ' 19680', ' 1', ' 0', ' 60', ' 95']
['2', ' 19680', ' 1', ' 0', ' 55', ' 95']
['2', ' 19680', ' 1', ' 0', ' 48', ' 95']
['2', ' 20160', ' 0', ' 0', ' 72', ' 95']
['2', ' 20160', ' 0', ' 0', ' 67', ' 95']
['2', ' 20160', ' 0', ' 0', ' 64', ' 95']
['2', ' 20160', ' 0', ' 0', ' 60', ' 95']
['2', ' 20160', ' 0', ' 0', ' 55', ' 95']
['2', ' 20160', ' 0', ' 0', ' 48', ' 95']
['2', ' 20160', ' 1', ' 0', ' 72', ' 95']
['2', ' 20160', ' 1', ' 0', ' 67', ' 95']
['2', ' 20160', ' 1', ' 0', ' 64', ' 95']
['2', ' 20160', ' 1', ' 0', ' 60', ' 95']
['2', ' 20160', ' 1', ' 0', ' 55', ' 95']
['2', ' 20160', ' 1', ' 0', ' 48', ' 95']
['2', ' 20640', ' 0', ' 0', ' 72', ' 95']
['2', ' 20640', ' 0', ' 0', ' 67', ' 95']
['2', ' 20640', ' 0', ' 0', ' 64', ' 95']
['2', ' 20640', ' 0', ' 0', ' 60', ' 95']
['2', ' 20640', ' 0', ' 0', ' 55', ' 95']
['2', ' 20640', ' 0', ' 0', ' 48', ' 95']
['2', ' 20640', ' 1', ' 0', ' 72', ' 95']
['2', ' 20640', ' 1', ' 0', ' 67', ' 95']
['2', ' 20640', ' 1', ' 0', ' 64', ' 95']
['2', ' 20640', ' 1', ' 0', ' 60', ' 95']
['2', ' 20640', ' 1', ' 0', ' 55', ' 95']
['2', ' 20640', ' 1', ' 0', ' 48', ' 95']
['2', ' 21120', ' 0', ' 0', ' 72', ' 95']
['2', ' 21120', ' 0', ' 0', ' 67', ' 95']
['2', ' 21120', ' 0', ' 0', ' 64', ' 95']
['2', ' 21120', ' 0', ' 0', ' 60', ' 95']
